ADVLTXAV	31.29991	-98.16941
ADVNMORA	37.10571	-89.90714
ADVNNCAA	36.14924	-80.64425
ADVNNCXA	35.94040	-80.45782
ADVTNS02	45.33248	-64.76166
AFACCOMA	39.00842	-104.89315
AFTNIAXO	41.03234	-94.19411
AFTNMNAF	44.92246	-92.76473
AFTNNYXA	42.22882	-75.52661
AFTNOKMA	36.69081	-94.96278
AFTNTXXA	33.76531	-100.81850
AFTNWYMA	42.72392	-110.93104
AGATCOXC	39.45902	-103.93427
AGDLCA11	34.49051	-118.32578
AGDLPRCO	18.34457	-67.15143
AGDLTXXA	27.78279	-97.90654
AGFIAZSR	33.68877	-112.23950
AGINMNXA	49.34228	-95.07193
AGLRCOMA	37.40240	-104.65097
AGLRPQXT	47.54943	-79.23256
AGMLON76	46.18138	-82.80789
AGNCIAXO	40.99781	-92.30976
AGNCMOAL	39.64479	-94.74025
AGNDKSXA	39.70908	-97.43029
AGORCA11	34.14566	-118.75657
AGRAOKXA	35.90160	-96.86804
AGSHNS01	45.61687	-61.98473
AGSHNSAD	45.64373	-62.12298
AGSHPQXQ	50.23324	-62.05644
AGSTARXA	35.28360	-91.35828
AGSTGAAU	33.51347	-82.12712
AGSTGABM	33.47610	-81.96811
AGSTGADL	33.46585	-81.96902
AGSTGAEF	33.45953	-81.96712
AGSTGAFL	33.40366	-82.02614
AGSTGAGH	33.47610	-81.96811
AGSTGAMT	33.47610	-81.96811
AGSTGAPC	33.50857	-82.02179
AGSTGATH	33.47068	-82.01039
AGSTGATR	33.37452	-82.05326
AGSTGAUA	33.47610	-81.96811
AGSTGAWG	33.46999	-82.06208
AGSTILXC	40.23219	-90.94981
AGSTKYXA	38.77102	-84.01052
AGSTMEEG	44.30047	-69.72613
AGSTMEST	44.30367	-69.78101
AGSTMIXJ	42.33261	-85.35220
AGSTMOXA	38.56670	-90.88022
AGSTMTXC	47.49971	-112.38556
AGSTWIXA	44.67900	-91.12335
AGSTWVXA	39.29457	-78.64147
AGSZBC01	49.23980	-121.76791
AGTNTXDA	29.22542	-95.34697
AGTNTXTI	29.16226	-95.43364
AGUDPRUR	18.39808	-67.19408
AGULAZXC	33.94296	-113.17266
AGURPRRR	17.97406	-66.22632
AGWMMABK	42.08391	-72.68735
AGWMMARO	42.08224	-72.63428
AHBGON01	42.11013	-83.10812
AHMLHIQA	19.91178	-155.88698
AHSKNCXA	36.29325	-76.98170
AHVLALXA	33.83499	-86.25183
AHVLNC09	35.59556	-82.55799
AHVLNCAT	35.60342	-82.58506
AHVLNCBI	35.54429	-82.52980
AHVLNCCL	35.56795	-82.54533
AHVLNCCO	35.59556	-82.55799
AHVLNCHA	35.57818	-82.57722
AHVLNCOH	35.59556	-82.55799
AHVLNCOT	35.58691	-82.48556
AHVLNCPS	35.59556	-82.55799
AHVLNCQN	35.59478	-82.54544
AHVLNCWF	34.25410	-79.92400
AHVLOHXA	39.71846	-82.95282
AIEAHICO	21.37982	-157.93703
AIKNSCMA	33.56037	-81.72180
AIRBNCXA	36.49984	-81.12461
AIRCTNXA	35.50838	-85.28413
AIRDTNXA	35.37193	-85.38948
AIRPTNXA	35.67845	-85.77434
AIVLGAMA	34.37615	-84.93615
AIVLKYXE	36.66906	-86.84898
AJO AZXC	32.37540	-112.86902
AJOAZXC	32.37540	-112.86902
AKCKAKXA	60.91499	-161.43571
AKHKAKXA	56.95090	-154.16397
AKIKAKXA	60.91442	-161.21579
AKLKBC01	51.78485	-122.24703
AKLKNTXN	68.22425	-134.99876
AKPSAKXA	68.14367	-151.73007
AKRNCOAB	40.16263	-103.12982
AKRNCOXC	40.15916	-103.21316
AKRNIAAE	42.82669	-96.55964
AKRNINXA	41.04414	-86.02473
AKRNNYAK	43.02047	-78.49947
AKRNOH25	41.08174	-81.51819
AKRNOH72	41.03989	-81.50996
AKRNOH78	41.06133	-81.46351
AKRNOH86	41.10992	-81.56644
AKRNOHAQ	41.08174	-81.51819
AKRNOHAR	41.08174	-81.51819
AKRNOHAT	41.07005	-81.52789
AKRNOHET	41.07005	-81.52789
AKRNOHIA	41.08174	-81.51819
AKRNOHIJ	41.09196	-81.51686
AKRNOHIL	41.09196	-81.51686
AKRNOHLH	41.08174	-81.51819
AKRNOHNA	41.02967	-81.51129
AKRNOHNI	41.07395	-81.52466
AKRNOHOM	41.07248	-81.53304
AKRNOHRD	41.07931	-81.51304
AKRNOHUE	41.05937	-81.49379
AKRNOHWZ	41.08760	-81.48466
AKRNOHXF	41.09196	-81.51686
AKRNPAXA	40.15965	-76.20042
AKTNAKXA	54.13886	-165.77087
AKUKAKXA	62.68352	-164.64821
